2025/04/28 17:27:22 [notice] 1#1: using the "epoll" event method
2025/04/28 17:27:22 [notice] 1#1: nginx/1.27.4
2025/04/28 17:27:22 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/04/28 17:27:22 [notice] 1#1: OS: Linux 5.15.167.4-microsoft-standard-WSL2
2025/04/28 17:27:22 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/04/28 17:27:22 [notice] 1#1: start worker processes
2025/04/28 17:27:22 [notice] 1#1: start worker process 29
2025/04/28 17:27:22 [notice] 1#1: start worker process 30
2025/04/28 17:27:22 [notice] 1#1: start worker process 31
2025/04/28 17:27:22 [notice] 1#1: start worker process 32
2025/04/28 17:27:22 [notice] 1#1: start worker process 33
2025/04/28 17:27:22 [notice] 1#1: start worker process 34
2025/04/28 17:27:22 [notice] 1#1: start worker process 35
2025/04/28 17:27:22 [notice] 1#1: start worker process 36
2025/04/28 17:27:22 [notice] 1#1: start worker process 37
2025/04/28 17:27:22 [notice] 1#1: start worker process 38
2025/04/28 17:27:22 [notice] 1#1: start worker process 39
2025/04/28 17:27:22 [notice] 1#1: start worker process 40
2025/04/28 17:27:22 [notice] 1#1: start worker process 41
2025/04/28 17:27:22 [notice] 1#1: start worker process 42
2025/04/28 17:27:22 [notice] 1#1: start worker process 43
2025/04/28 17:27:22 [notice] 1#1: start worker process 44
2025/05/07 19:08:16 [notice] 1#1: using the "epoll" event method
2025/05/07 19:08:16 [notice] 1#1: nginx/1.27.5
2025/05/07 19:08:16 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/05/07 19:08:16 [notice] 1#1: OS: Linux 6.8.0-57-generic
2025/05/07 19:08:16 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/05/07 19:08:16 [notice] 1#1: start worker processes
2025/05/07 19:08:16 [notice] 1#1: start worker process 29
2025/05/07 19:08:16 [notice] 1#1: start worker process 30
2025/05/07 19:08:16 [notice] 1#1: start worker process 31
2025/05/07 19:08:16 [notice] 1#1: start worker process 32
2025/05/07 19:08:16 [notice] 1#1: start worker process 33
2025/05/07 19:08:16 [notice] 1#1: start worker process 34
2025/05/07 19:09:42 [error] 30#30: *2 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 118.70.191.159, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.27.0.6:3000/", host: "fams.io.vn"
2025/05/07 20:33:43 [error] 29#29: *725 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:34:33 [error] 30#30: *741 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:39:32 [error] 30#30: *747 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:45:59 [error] 30#30: *762 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:45:59 [error] 33#33: *809 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:47:03 [error] 33#33: *836 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:47:03 [error] 33#33: *840 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:50:44 [error] 33#33: *855 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:50:44 [error] 33#33: *883 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 22:34:34 [error] 34#34: *1562 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 22:36:54 [error] 34#34: *1587 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 22:41:15 [error] 34#34: *1601 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 22:43:18 [error] 31#31: *1635 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 22:51:20 [error] 32#32: *1671 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 22:55:30 [error] 32#32: *1728 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 51.159.214.48, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "14.225.204.42"
2025/05/07 23:19:42 [error] 32#32: *1686 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 23:33:51 [error] 33#33: *1931 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 23:33:51 [error] 34#34: *2067 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:07:57 [error] 33#33: *2412 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:19:21 [error] 31#31: *2164 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:19:21 [error] 33#33: *2443 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:20:45 [error] 34#34: *2550 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:20:45 [error] 31#31: *2552 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:22:41 [error] 31#31: *2580 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:22:41 [error] 31#31: *2638 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:23:37 [error] 32#32: *2659 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:23:37 [error] 32#32: *2661 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:32:33 [error] 32#32: *2665 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:32:33 [error] 32#32: *2667 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:37:17 [error] 29#29: *2722 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 00:37:17 [error] 29#29: *2724 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 01:00:54 [error] 34#34: *2913 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 01:07:29 [error] 32#32: *3034 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 09:57:09 [error] 33#33: *5795 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:10:02 [error] 33#33: *5830 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:11:22 [error] 30#30: *5707 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:11:22 [error] 33#33: *5838 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:30:43 [error] 33#33: *5848 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:31:56 [error] 33#33: *5846 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:31:56 [error] 32#32: *6042 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:31:56 [error] 34#34: *5858 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:31:56 [error] 32#32: *6054 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:35:02 [error] 29#29: *6112 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:35:02 [error] 29#29: *6124 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:35:02 [error] 29#29: *6131 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:35:02 [error] 29#29: *6151 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:39:07 [error] 30#30: *6205 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 222.255.139.6, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:39:07 [error] 30#30: *6213 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:39:07 [error] 30#30: *6215 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 10:39:07 [error] 30#30: *6229 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:08:25 [error] 33#33: *6283 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:08:25 [error] 33#33: *6287 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:12:18 [error] 31#31: *6475 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:12:18 [error] 31#31: *6477 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:15:11 [error] 32#32: *6564 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:15:11 [error] 32#32: *6568 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:17:07 [error] 32#32: *6585 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:17:07 [error] 32#32: *6589 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:19:24 [error] 29#29: *6614 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:19:24 [error] 29#29: *6667 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:25:00 [error] 29#29: *6711 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:25:00 [error] 29#29: *6713 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:26:10 [error] 30#30: *6754 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:27:05 [error] 30#30: *6756 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:27:40 [error] 30#30: *6766 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:28:28 [error] 33#33: *6785 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:28:55 [error] 33#33: *6815 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:30:21 [error] 33#33: *6819 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:35:43 [error] 34#34: *6950 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:35:43 [error] 31#31: *6959 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:44:07 [error] 31#31: *6999 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:44:09 [error] 32#32: *7121 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:45:47 [error] 32#32: *7186 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:45:47 [error] 32#32: *7193 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:48:06 [error] 29#29: *7230 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:48:06 [error] 29#29: *7233 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:49:16 [error] 29#29: *7289 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:49:16 [error] 30#30: *7292 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:51:10 [error] 30#30: *7318 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 11:51:10 [error] 30#30: *7320 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 12:06:19 [error] 30#30: *7384 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 12:06:19 [error] 30#30: *7389 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 12:19:29 [error] 31#31: *7668 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 12:19:29 [error] 31#31: *7670 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 12:19:42 [error] 29#29: *7856 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 116.96.77.176, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/08 12:19:42 [error] 29#29: *7860 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.166, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
